img_no,img_path,property_age_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
3139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003139.jpg,0.0001,0.0001,0.0002,0.0002,0.0,0.0001
3140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003140.jpg,0.0059,0.0144,0.0082,0.0026,0.0035,0.0006
3141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003141.jpg,0.0776,0.1247,0.0526,0.0512,0.1291,0.0303
3142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003142.jpg,0.8853,0.9481,0.946,0.9661,0.9971,0.5694
3143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003143.jpg,0.0012,0.0024,0.0009,0.0006,0.0002,0.0018
3144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003144.jpg,0.0181,0.0221,0.0085,0.0045,0.0508,0.0047
3145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003145.jpg,0.0012,0.0023,0.001,0.0012,0.0002,0.0011
3146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003146.jpg,0.0015,0.0023,0.0018,0.0018,0.0003,0.0013
3147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003147.jpg,0.0019,0.0064,0.0014,0.0005,0.0004,0.001
3148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003148.jpg,0.0004,0.0006,0.0003,0.0007,0.0001,0.0005
3149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003149.jpg,0.0004,0.0002,0.0005,0.0004,0.0001,0.0005
3150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003150.jpg,0.0087,0.0142,0.0213,0.005,0.0004,0.0028
3151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003151.jpg,0.0088,0.0229,0.0044,0.0049,0.0063,0.0054
3152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003152.jpg,0.0015,0.0036,0.0013,0.0007,0.0009,0.001
3153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003153.jpg,0.0028,0.0031,0.0057,0.0007,0.0024,0.002
3154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003154.jpg,0.4631,0.4052,0.4595,0.4731,0.898,0.0797
3155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003155.jpg,0.0279,0.0329,0.0337,0.0113,0.0087,0.0527
3156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003156.jpg,0.0008,0.0009,0.0015,0.0009,0.0003,0.0005
3157,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003157.jpg,0.0642,0.0226,0.0194,0.2637,0.014,0.001
3158,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003158.jpg,0.002,0.0012,0.0074,0.0008,0.0,0.0003
3159,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003159.jpg,0.0053,0.006,0.012,0.0014,0.0044,0.0027
3160,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003160.jpg,0.0175,0.0507,0.0128,0.0203,0.0007,0.0028
3161,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003161.jpg,0.0077,0.0115,0.0078,0.0065,0.0012,0.0115
3162,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003162.jpg,0.0011,0.0019,0.0005,0.0008,0.0007,0.0017
3163,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003163.jpg,0.0016,0.0025,0.0013,0.0018,0.0009,0.0016
3164,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003164.jpg,0.0417,0.0557,0.101,0.0316,0.008,0.0123
3165,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003165.jpg,0.0176,0.059,0.018,0.0037,0.0036,0.0036
3166,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003166.jpg,0.0024,0.0032,0.0038,0.0029,0.0002,0.0018
3167,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003167.jpg,0.0026,0.0009,0.0095,0.0012,0.0,0.0015
3168,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003168.jpg,0.7914,0.9055,0.9054,0.9452,0.8203,0.3805
3169,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003169.jpg,0.0103,0.0131,0.0214,0.0095,0.0024,0.0052
3170,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003170.jpg,0.0118,0.0186,0.0098,0.0099,0.0134,0.0074
3171,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003171.jpg,0.0323,0.0217,0.1,0.0274,0.0002,0.0124
3172,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003172.jpg,0.0024,0.0015,0.0008,0.0019,0.0003,0.0077
3173,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003173.jpg,0.0522,0.1074,0.0236,0.0634,0.0495,0.0172
3174,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003174.jpg,0.011,0.0308,0.0029,0.0092,0.0027,0.0093
3175,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003175.jpg,0.0004,0.0004,0.0012,0.0004,0.0001,0.0001
3176,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003176.jpg,0.0046,0.0079,0.0091,0.0015,0.0019,0.0024
3177,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003177.jpg,0.0035,0.0029,0.0041,0.0006,0.0003,0.0097
3178,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003178.jpg,0.0031,0.0032,0.0041,0.0032,0.0015,0.0032
3179,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003179.jpg,0.0005,0.0011,0.0013,0.0001,0.0,0.0001
3180,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003180.jpg,0.013,0.0201,0.0151,0.0209,0.0059,0.0029
3181,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003181.jpg,0.0019,0.0012,0.0027,0.0015,0.0026,0.0013
3182,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003182.jpg,0.001,0.0014,0.0023,0.0003,0.0003,0.0007
3183,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003183.jpg,0.0003,0.0007,0.0005,0.0002,0.0002,0.0002
3184,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003184.jpg,0.0297,0.0482,0.0416,0.0255,0.0135,0.0196
3185,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003185.jpg,0.0018,0.0015,0.0062,0.0009,0.0003,0.0003
3186,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003186.jpg,0.0095,0.0217,0.0093,0.0032,0.0022,0.0111
3187,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003187.jpg,0.0052,0.007,0.01,0.002,0.0012,0.0059
3188,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003188.jpg,0.124,0.3889,0.0376,0.1162,0.0545,0.0227
3189,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003189.jpg,0.001,0.0013,0.0028,0.0004,0.0001,0.0005
3190,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003190.jpg,0.0188,0.0252,0.0355,0.0036,0.0052,0.0245
3191,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003191.jpg,0.0021,0.003,0.0017,0.0029,0.0006,0.0024
3192,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003192.jpg,0.0018,0.002,0.0035,0.0018,0.0003,0.0013
3193,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003193.jpg,0.0045,0.0105,0.0035,0.003,0.0025,0.0028
3194,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003194.jpg,0.0293,0.0494,0.0138,0.0471,0.0077,0.0287
3195,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003195.jpg,0.0819,0.151,0.0899,0.0286,0.1284,0.0114
3196,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003196.jpg,0.0058,0.0093,0.0107,0.0038,0.0009,0.0042
3197,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003197.jpg,0.0021,0.002,0.0042,0.002,0.002,0.0002
3198,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003198.jpg,0.0034,0.0036,0.0084,0.0019,0.0027,0.0004
3199,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003199.jpg,0.0253,0.045,0.032,0.0317,0.001,0.0169
3200,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003200.jpg,0.0019,0.0032,0.0043,0.0008,0.0003,0.001
3201,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003201.jpg,0.1369,0.1709,0.1274,0.1528,0.102,0.1317
3202,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003202.jpg,0.0078,0.019,0.0101,0.0033,0.0013,0.0054
3203,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003203.jpg,0.1833,0.306,0.1698,0.1239,0.2641,0.0526
3204,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003204.jpg,0.0335,0.0351,0.0118,0.0108,0.0049,0.1047
3205,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003205.jpg,0.0113,0.0183,0.0135,0.0165,0.0061,0.0022
3206,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003206.jpg,0.0037,0.0046,0.0051,0.0023,0.0041,0.0025
3207,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003207.jpg,0.0008,0.0012,0.0005,0.0007,0.0001,0.0016
3208,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003208.jpg,0.0237,0.0562,0.0366,0.0159,0.0065,0.003
3209,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003209.jpg,0.0083,0.0147,0.0206,0.0033,0.0004,0.0027
3210,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003210.jpg,0.0012,0.0016,0.0014,0.0008,0.0007,0.0015
3211,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003211.jpg,0.009,0.0146,0.002,0.0069,0.0015,0.02
3212,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003212.jpg,0.0138,0.0512,0.0025,0.0059,0.0064,0.0032
3213,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003213.jpg,0.0108,0.0137,0.026,0.0096,0.0004,0.0045
3214,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003214.jpg,0.0065,0.0135,0.0062,0.0056,0.0037,0.0032
3215,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003215.jpg,0.0027,0.0021,0.0056,0.0021,0.0019,0.0019
3216,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003216.jpg,0.0028,0.0047,0.0025,0.0034,0.0004,0.0031
3217,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003217.jpg,0.0013,0.0017,0.0025,0.0011,0.0001,0.0008
3218,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003218.jpg,0.0531,0.1425,0.0447,0.0406,0.0179,0.0197
3219,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003219.jpg,0.0027,0.0033,0.0037,0.0008,0.0003,0.0053
3220,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003220.jpg,0.0105,0.0238,0.01,0.0041,0.0103,0.0045
3221,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003221.jpg,0.0043,0.0109,0.0025,0.0005,0.0005,0.0069
3222,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003222.jpg,0.0645,0.0706,0.0616,0.0301,0.1407,0.0194
3223,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003223.jpg,0.0016,0.0044,0.002,0.0012,0.0001,0.0003
3224,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003224.jpg,0.0028,0.0045,0.0014,0.0028,0.0011,0.004
3225,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003225.jpg,0.0164,0.0286,0.0355,0.008,0.0063,0.0036
3226,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003226.jpg,0.0022,0.0023,0.0035,0.0004,0.0039,0.0007
3227,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003227.jpg,0.002,0.0026,0.0019,0.002,0.0005,0.003
3228,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003228.jpg,0.0005,0.0005,0.0003,0.0004,0.0008,0.0005
3229,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003229.jpg,0.1239,0.1303,0.065,0.0306,0.383,0.0106
3230,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003230.jpg,0.0107,0.0147,0.0191,0.0091,0.0046,0.006
3231,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003231.jpg,0.0023,0.0037,0.0046,0.0012,0.0003,0.0017
3232,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003232.jpg,0.0007,0.0009,0.0009,0.0004,0.0001,0.001
3233,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003233.jpg,0.0088,0.0146,0.0038,0.0078,0.0128,0.005
3234,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003234.jpg,0.0013,0.0019,0.0019,0.0011,0.0009,0.0005
3235,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003235.jpg,0.1028,0.1555,0.0459,0.0402,0.1883,0.0839
3236,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003236.jpg,0.0215,0.0599,0.018,0.0037,0.0171,0.0088
3237,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003237.jpg,0.1226,0.1208,0.1413,0.2315,0.0584,0.0613
3238,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003238.jpg,0.0063,0.0136,0.0057,0.0047,0.0055,0.0023
3239,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003239.jpg,0.0001,0.0001,0.0003,0.0001,0.0,0.0001
3240,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003240.jpg,0.0611,0.0094,0.0739,0.1892,0.003,0.0301
3241,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003241.jpg,0.1101,0.2676,0.1568,0.056,0.0566,0.0137
3242,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003242.jpg,0.0629,0.0358,0.0722,0.1199,0.0208,0.0656
3243,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003243.jpg,0.002,0.0021,0.0055,0.0005,0.0003,0.0017
3244,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003244.jpg,0.0229,0.0521,0.0079,0.007,0.0102,0.0373
3245,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003245.jpg,0.0014,0.0022,0.0007,0.0019,0.0001,0.0019
3246,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003246.jpg,0.0006,0.0006,0.001,0.0007,0.0001,0.0005
3247,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003247.jpg,0.0013,0.0013,0.0024,0.0004,0.0001,0.0023
3248,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003248.jpg,0.0009,0.0012,0.0009,0.0008,0.0006,0.0011
3249,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003249.jpg,0.0169,0.042,0.0139,0.0042,0.0034,0.0211
3250,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003250.jpg,0.0039,0.0082,0.0032,0.0025,0.0023,0.0032
3251,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003251.jpg,0.4976,0.7585,0.2805,0.4863,0.4032,0.5593
3252,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003252.jpg,0.0129,0.0342,0.0175,0.0071,0.0031,0.0027
3253,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003253.jpg,0.0105,0.0139,0.0054,0.0049,0.0231,0.0052
3254,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003254.jpg,0.0193,0.0546,0.0161,0.0067,0.0064,0.0127
3255,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003255.jpg,0.0004,0.0011,0.0007,0.0001,0.0,0.0001
3256,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003256.jpg,0.0056,0.003,0.0172,0.0056,0.0007,0.0016
3257,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003257.jpg,0.0006,0.0005,0.0003,0.0019,0.0,0.0005
3258,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003258.jpg,0.0534,0.108,0.1157,0.0268,0.0039,0.0129
3259,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003259.jpg,0.4574,0.3726,0.2125,0.5044,0.595,0.6023
3260,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003260.jpg,0.0003,0.0003,0.001,0.0001,0.0,0.0001
3261,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003261.jpg,0.0006,0.0004,0.0006,0.0008,0.0002,0.001
3262,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003262.jpg,0.002,0.007,0.001,0.0011,0.0002,0.0006
3263,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003263.jpg,0.0007,0.0005,0.0012,0.0005,0.0002,0.001
3264,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003264.jpg,0.0041,0.0088,0.0076,0.003,0.0003,0.0009
3265,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003265.jpg,0.0431,0.1153,0.0515,0.0058,0.0373,0.0054
3266,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003266.jpg,0.0304,0.0575,0.0099,0.0117,0.0516,0.0215
3267,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003267.jpg,0.008,0.0142,0.0076,0.0053,0.0056,0.0074
3268,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003268.jpg,0.0712,0.0624,0.0415,0.0638,0.0334,0.1547
3269,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003269.jpg,0.5588,0.8104,0.3129,0.6035,0.8101,0.2573
3270,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003270.jpg,0.0059,0.0089,0.0137,0.0013,0.0001,0.0053
3271,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003271.jpg,0.1062,0.0897,0.0781,0.1276,0.1252,0.1102
3272,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003272.jpg,0.0699,0.1138,0.0296,0.1465,0.0389,0.0204
3273,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003273.jpg,0.0045,0.0066,0.0096,0.0033,0.0008,0.0024
3274,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003274.jpg,0.0066,0.0142,0.0015,0.0008,0.014,0.0023
3275,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003275.jpg,0.0035,0.0064,0.005,0.0045,0.0009,0.0007
3276,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003276.jpg,0.0015,0.0022,0.0027,0.0017,0.0006,0.0001
3277,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003277.jpg,0.1544,0.3349,0.0738,0.0895,0.2122,0.0613
3278,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003278.jpg,0.0029,0.0051,0.0015,0.0025,0.0019,0.0034
3279,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003279.jpg,0.0091,0.0197,0.0105,0.0052,0.0031,0.0071
3280,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003280.jpg,0.0026,0.0057,0.0046,0.0006,0.0007,0.0012
3281,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003281.jpg,0.0347,0.08,0.0258,0.0177,0.0214,0.0287
3282,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003282.jpg,0.0097,0.0124,0.0269,0.0029,0.0007,0.0055
3283,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003283.jpg,0.012,0.0262,0.0105,0.0078,0.0063,0.009
3284,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003284.jpg,0.0089,0.0081,0.0228,0.0051,0.0048,0.0036
3285,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003285.jpg,0.2774,0.1981,0.3412,0.482,0.2185,0.1475
3286,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003286.jpg,0.0027,0.0045,0.0029,0.0006,0.0004,0.0052
3287,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003287.jpg,0.3295,0.3762,0.4465,0.5844,0.1497,0.0905
3288,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003288.jpg,0.0009,0.0011,0.001,0.0009,0.0002,0.0013
3289,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003289.jpg,0.0128,0.0275,0.0243,0.0038,0.0056,0.0029
3290,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003290.jpg,0.0008,0.0011,0.0006,0.0003,0.0006,0.0017
3291,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003291.jpg,0.1335,0.2505,0.0349,0.0756,0.0848,0.2216
3292,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003292.jpg,0.0115,0.0371,0.0088,0.0062,0.0004,0.0051
3293,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003293.jpg,0.0127,0.0365,0.0101,0.0138,0.0021,0.0012
3294,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003294.jpg,0.0083,0.0175,0.0167,0.0042,0.0008,0.0022
3295,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003295.jpg,0.0013,0.0031,0.0028,0.0003,0.0001,0.0003
