img_no,img_path,property_glass_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
3995,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003995.jpg,0.0241,0.006,0.0894,0.0067,0.013,0.0057
3996,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003996.jpg,0.0285,0.0089,0.0038,0.1266,0.0018,0.0014
3997,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003997.jpg,0.0036,0.0011,0.015,0.0002,0.0005,0.001
3998,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003998.jpg,0.0019,0.0041,0.0026,0.0001,0.0002,0.0026
3999,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/003999.jpg,0.0006,0.0003,0.001,0.0,0.0001,0.0017
4000,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004000.jpg,0.9882,0.9804,0.9989,0.9858,0.9986,0.9775
4001,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004001.jpg,0.0003,0.0002,0.0007,0.0,0.0001,0.0004
4002,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004002.jpg,0.0038,0.0004,0.0151,0.0001,0.0009,0.0025
4003,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004003.jpg,0.0008,0.0001,0.0019,0.0,0.0012,0.001
4004,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004004.jpg,0.0012,0.0008,0.0039,0.0003,0.0003,0.0005
4005,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004005.jpg,0.0702,0.047,0.2834,0.0018,0.0047,0.014
4006,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004006.jpg,0.0005,0.0001,0.0018,0.0,0.0003,0.0003
4007,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004007.jpg,0.0013,0.0018,0.0035,0.0,0.0002,0.0011
4008,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004008.jpg,0.0001,0.0001,0.0002,0.0,0.0001,0.0001
4009,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004009.jpg,0.0044,0.0006,0.0177,0.0,0.0018,0.0019
4010,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004010.jpg,0.0013,0.0003,0.0049,0.0,0.0005,0.0006
4011,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004011.jpg,0.002,0.0004,0.0056,0.0001,0.0005,0.0033
4012,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004012.jpg,0.0001,0.0001,0.0003,0.0,0.0,0.0002
4013,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004013.jpg,0.0006,0.0002,0.001,0.0,0.0002,0.0015
4014,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004014.jpg,0.0059,0.0148,0.0115,0.0002,0.0004,0.0026
4015,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004015.jpg,0.0047,0.0006,0.0179,0.0005,0.0015,0.0029
4016,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004016.jpg,0.0,0.0,0.0001,0.0,0.0,0.0
4017,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004017.jpg,0.0005,0.0006,0.0011,0.0,0.0001,0.0006
4018,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004018.jpg,0.0029,0.0014,0.0037,0.0011,0.0015,0.0067
4019,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004019.jpg,0.0038,0.0061,0.0094,0.0003,0.0015,0.0019
4020,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004020.jpg,0.0038,0.0076,0.0044,0.0001,0.0002,0.0067
4021,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004021.jpg,0.0029,0.0025,0.0082,0.0001,0.0006,0.0033
4022,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004022.jpg,0.0856,0.0539,0.2301,0.0233,0.0929,0.0277
4023,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004023.jpg,0.0002,0.0,0.0007,0.0,0.0001,0.0004
4024,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004024.jpg,0.0032,0.0105,0.0014,0.0,0.0002,0.004
4025,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004025.jpg,0.0011,0.0002,0.0019,0.0,0.0004,0.0029
4026,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004026.jpg,0.0003,0.0002,0.0004,0.0,0.0001,0.0008
4027,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004027.jpg,0.0034,0.0004,0.0136,0.0002,0.0011,0.0019
4028,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004028.jpg,0.0007,0.0006,0.0022,0.0001,0.0001,0.0007
4029,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004029.jpg,0.0025,0.0001,0.0084,0.0001,0.0009,0.003
4030,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004030.jpg,0.6431,0.7076,0.2949,0.8089,0.5055,0.8988
4031,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004031.jpg,0.0096,0.0019,0.0344,0.0023,0.0045,0.005
4032,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004032.jpg,0.0008,0.0003,0.0018,0.0001,0.0002,0.0015
4033,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004033.jpg,0.008,0.009,0.0113,0.003,0.0006,0.0158
4034,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004034.jpg,0.0004,0.0002,0.0014,0.0001,0.0001,0.0002
4035,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004035.jpg,0.9941,0.9939,0.9993,0.9975,0.9997,0.98
4036,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004036.jpg,0.0105,0.0045,0.0354,0.0023,0.0022,0.0079
4037,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004037.jpg,0.9891,0.985,0.9987,0.9975,0.9987,0.9658
4038,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004038.jpg,0.0045,0.004,0.0124,0.0003,0.0004,0.0053
4039,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004039.jpg,0.0004,0.0002,0.0014,0.0,0.0001,0.0003
4040,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004040.jpg,0.0001,0.0002,0.0001,0.0,0.0001,0.0003
4041,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004041.jpg,0.0001,0.0002,0.0002,0.0,0.0,0.0003
4042,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004042.jpg,0.0009,0.0009,0.0022,0.0002,0.0001,0.001
4043,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004043.jpg,0.9917,0.98,0.9984,0.9839,0.9988,0.9971
4044,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004044.jpg,0.6678,0.3449,0.9249,0.1641,0.9384,0.9665
4045,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004045.jpg,0.001,0.0009,0.0014,0.0,0.0003,0.0024
4046,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004046.jpg,0.0003,0.0,0.001,0.0,0.0005,0.0001
4047,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004047.jpg,0.0009,0.001,0.002,0.0,0.0001,0.0014
4048,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004048.jpg,0.0002,0.0001,0.0007,0.0,0.0001,0.0002
4049,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004049.jpg,0.0014,0.0006,0.0041,0.0001,0.0003,0.0019
4050,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004050.jpg,0.0018,0.0,0.005,0.0,0.004,0.0001
4051,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004051.jpg,0.004,0.0031,0.0125,0.0001,0.0024,0.0018
4052,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004052.jpg,0.0015,0.0011,0.0044,0.0002,0.0008,0.0011
4053,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004053.jpg,0.0016,0.0022,0.0031,0.0001,0.0005,0.002
4054,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004054.jpg,0.0035,0.0131,0.0025,0.0001,0.0006,0.0014
4055,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004055.jpg,0.0004,0.0002,0.0007,0.0,0.0001,0.001
4056,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004056.jpg,0.0004,0.0004,0.0012,0.0,0.0001,0.0002
4057,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004057.jpg,0.005,0.0103,0.0081,0.0001,0.0003,0.0061
4058,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004058.jpg,0.0013,0.0,0.0041,0.0001,0.0016,0.0005
4059,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004059.jpg,0.002,0.0026,0.0023,0.0001,0.0001,0.0047
4060,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004060.jpg,0.0122,0.0155,0.0067,0.0007,0.0049,0.0331
4061,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004061.jpg,0.0046,0.0006,0.0196,0.0001,0.002,0.0007
4062,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004062.jpg,0.0004,0.0004,0.001,0.0,0.0001,0.0006
4063,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004063.jpg,0.0001,0.0,0.0005,0.0,0.0,0.0001
4064,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004064.jpg,0.0014,0.0005,0.0034,0.0,0.0007,0.0023
4065,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004065.jpg,0.0006,0.0001,0.0021,0.0,0.0003,0.0007
4066,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004066.jpg,0.0029,0.0022,0.0075,0.0,0.0003,0.0044
4067,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004067.jpg,0.007,0.0052,0.0216,0.0019,0.0043,0.002
4068,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004068.jpg,0.005,0.0064,0.014,0.0001,0.0011,0.0035
4069,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004069.jpg,0.0015,0.0003,0.006,0.0001,0.0002,0.0009
4070,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004070.jpg,0.002,0.0042,0.0036,0.0003,0.0002,0.0017
4071,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004071.jpg,0.0018,0.0004,0.0037,0.0001,0.0003,0.0042
4072,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004072.jpg,0.0024,0.004,0.0048,0.0003,0.001,0.0021
4073,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004073.jpg,0.9838,0.9918,0.9893,0.9977,0.9948,0.9455
4074,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004074.jpg,0.0015,0.0012,0.0027,0.0,0.0004,0.003
4075,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004075.jpg,0.0001,0.0001,0.0001,0.0,0.0,0.0001
4076,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004076.jpg,0.0072,0.0076,0.0176,0.004,0.0018,0.0048
4077,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004077.jpg,0.009,0.0072,0.022,0.0036,0.0039,0.0085
4078,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004078.jpg,0.0012,0.0015,0.0021,0.0001,0.0004,0.002
4079,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004079.jpg,0.0009,0.0001,0.0024,0.0,0.0003,0.0017
4080,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004080.jpg,0.0045,0.0005,0.0133,0.0,0.0003,0.0086
4081,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004081.jpg,0.003,0.0018,0.0097,0.0002,0.0005,0.003
4082,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004082.jpg,0.0002,0.0001,0.0004,0.0,0.0001,0.0004
4083,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004083.jpg,0.0001,0.0,0.0002,0.0,0.0,0.0
4084,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004084.jpg,0.0032,0.0088,0.0042,0.0002,0.001,0.0019
4085,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004085.jpg,0.0102,0.0151,0.0267,0.0002,0.0058,0.0032
4086,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004086.jpg,0.0003,0.0002,0.0008,0.0001,0.0002,0.0003
4087,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004087.jpg,0.0429,0.0214,0.0979,0.0046,0.0334,0.0575
4088,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004088.jpg,0.0024,0.0018,0.0074,0.0001,0.0003,0.0023
4089,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004089.jpg,0.0011,0.0002,0.0024,0.0001,0.0026,0.0001
4090,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004090.jpg,0.0002,0.0001,0.0004,0.0,0.0001,0.0002
4091,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004091.jpg,0.0045,0.0022,0.0022,0.0002,0.0013,0.0164
4092,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004092.jpg,0.0007,0.0003,0.0027,0.0,0.0002,0.0004
4093,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004093.jpg,0.1715,0.1389,0.1791,0.1696,0.341,0.029
4094,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004094.jpg,0.0042,0.0012,0.0061,0.0001,0.0031,0.0106
4095,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004095.jpg,0.0018,0.0002,0.0065,0.0,0.0002,0.0019
4096,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004096.jpg,0.0002,0.0001,0.0004,0.0,0.0001,0.0002
4097,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004097.jpg,0.0021,0.0011,0.0059,0.0002,0.0003,0.0031
4098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004098.jpg,0.0543,0.0942,0.0895,0.0152,0.048,0.0245
4099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004099.jpg,0.002,0.0003,0.006,0.0001,0.0006,0.0031
4100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004100.jpg,0.0007,0.0,0.002,0.0,0.0008,0.0008
4101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004101.jpg,0.0035,0.002,0.0111,0.0001,0.0011,0.0031
4102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004102.jpg,0.0163,0.0016,0.0534,0.0063,0.0054,0.0148
4103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004103.jpg,0.0035,0.0047,0.0068,0.0007,0.0003,0.0048
4104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004104.jpg,0.0003,0.0001,0.0002,0.0,0.0001,0.001
4105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004105.jpg,0.0143,0.0054,0.048,0.0136,0.0016,0.0029
4106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004106.jpg,0.0022,0.0011,0.0047,0.0002,0.0006,0.0043
4107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004107.jpg,0.0043,0.0031,0.008,0.0002,0.0007,0.0096
4108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004108.jpg,0.0351,0.0307,0.0694,0.0009,0.0272,0.0474
4109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004109.jpg,0.9463,0.8457,0.9869,0.9633,0.9975,0.9381
4110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004110.jpg,0.0013,0.0004,0.0019,0.0001,0.0016,0.0023
4111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004111.jpg,0.0066,0.0007,0.025,0.0003,0.0018,0.0053
4112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004112.jpg,0.0026,0.0011,0.0114,0.0002,0.0002,0.0003
4113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004113.jpg,0.0087,0.0031,0.031,0.0028,0.0009,0.0058
4114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004114.jpg,0.9574,0.9425,0.9425,0.9988,0.9772,0.9257
4115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004115.jpg,0.0009,0.0015,0.0016,0.0,0.0001,0.0014
4116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004116.jpg,0.0449,0.0033,0.163,0.0223,0.0185,0.0171
4117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004117.jpg,0.0059,0.0085,0.0164,0.0007,0.0009,0.0029
4118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004118.jpg,0.0031,0.0002,0.014,0.0001,0.0006,0.0005
4119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004119.jpg,0.0365,0.1659,0.0099,0.0004,0.0041,0.0023
4120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004120.jpg,0.9439,0.9825,0.9847,0.9754,0.9832,0.7938
4121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004121.jpg,0.0031,0.0082,0.0036,0.0001,0.0005,0.003
4122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004122.jpg,0.0006,0.0002,0.0015,0.0,0.0002,0.0014
4123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004123.jpg,0.0013,0.0012,0.004,0.0001,0.0004,0.0008
4124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004124.jpg,0.0023,0.0007,0.0083,0.0001,0.0005,0.0016
4125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004125.jpg,0.0005,0.0001,0.0011,0.0,0.001,0.0002
4126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004126.jpg,0.0001,0.0,0.0002,0.0,0.0001,0.0003
4127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004127.jpg,0.0232,0.0083,0.0974,0.0001,0.0037,0.0066
4128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004128.jpg,0.0024,0.0005,0.004,0.0003,0.0008,0.0061
4129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004129.jpg,0.0001,0.0001,0.0003,0.0,0.0001,0.0002
4130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004130.jpg,0.0083,0.0011,0.0177,0.0001,0.0012,0.0214
4131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004131.jpg,0.0049,0.001,0.0196,0.0004,0.0012,0.0025
4132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004132.jpg,0.0011,0.0005,0.0027,0.0,0.0003,0.0021
4133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004133.jpg,0.0005,0.0005,0.0011,0.0,0.0,0.0008
4134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004134.jpg,0.0023,0.0003,0.007,0.0009,0.0006,0.003
4135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004135.jpg,0.0012,0.0019,0.0029,0.0001,0.0002,0.0011
4136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004136.jpg,0.0004,0.0008,0.0005,0.0001,0.0002,0.0008
4137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004137.jpg,0.0011,0.0002,0.0039,0.0,0.0006,0.0005
4138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004138.jpg,0.0006,0.0001,0.0015,0.0,0.0004,0.0008
4139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004139.jpg,0.0026,0.0051,0.0057,0.0003,0.0005,0.0016
4140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004140.jpg,0.0502,0.0188,0.0417,0.0193,0.0296,0.1414
4141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004141.jpg,0.0002,0.0003,0.0005,0.0,0.0001,0.0002
4142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004142.jpg,0.0013,0.0006,0.0031,0.0003,0.0008,0.0015
4143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004143.jpg,0.0002,0.0002,0.0006,0.0,0.0001,0.0002
4144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004144.jpg,0.0022,0.0043,0.0047,0.0002,0.0002,0.0018
4145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004145.jpg,0.0082,0.0002,0.0337,0.0001,0.0032,0.0037
4146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004146.jpg,0.1025,0.0043,0.1409,0.0093,0.0754,0.2828
4147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004147.jpg,0.0065,0.0011,0.0294,0.0002,0.0006,0.0014
4148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004148.jpg,0.002,0.0025,0.003,0.0008,0.0005,0.0032
4149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004149.jpg,0.0008,0.0,0.0009,0.0,0.0002,0.0027
4150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004150.jpg,0.0004,0.0004,0.001,0.0001,0.0001,0.0005
4151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004151.jpg,0.0,0.0001,0.0001,0.0,0.0,0.0
4152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/004152.jpg,0.0049,0.0049,0.017,0.0001,0.0007,0.002
