img_no,img_path,eyes_v2,eyes_v2_cnn,eyes_diff,hair_color_v2,hair_color_v2_cnn,hair_color_diff,hair_length_v2,hair_length_v2_cnn,hair_length_diff,mouth_v2,mouth_v2_cnn,mouth_diff,pose_v2,pose_v2_cnn,pose_diff,background_mean_v2,background_mean_v2_cnn,background_mean_diff,background_std_v2,background_std_v2_cnn,background_std_diff
2082,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002082.jpg,-0.0653,-0.4097,0.3444,-1.0464,-0.9919,0.0545,0.937,0.6836,0.2534,1.1295,1.2042,0.0747,-0.4641,-0.4232,0.0409,1.0534,1.3078,0.2544,0.6125,0.173,0.4395
2086,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002086.jpg,-0.0307,-0.2596,0.2289,-0.9108,-1.0472,0.1364,1.3951,1.1932,0.2019,0.713,0.5578,0.1552,0.812,0.9183,0.1063,1.0673,0.9654,0.1019,0.2429,0.6267,0.3838
2087,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002087.jpg,-0.0726,0.214,0.2866,-0.7636,-0.5941,0.1695,0.535,0.3723,0.1627,-0.5148,-0.3411,0.1737,1.377,1.4358,0.0588,-0.7109,-0.7304,0.0195,0.5564,0.6647,0.1083
2090,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002090.jpg,0.6774,0.7859,0.1085,-0.582,-0.838,0.256,0.9463,1.0074,0.0611,1.1048,1.1005,0.0043,-0.5195,-0.5585,0.039,0.7122,0.6592,0.053,-0.6745,-0.6248,0.0497
2091,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002091.jpg,0.6807,0.9786,0.2979,-0.4339,-0.3736,0.0603,0.9277,0.7385,0.1892,-1.0138,-1.1839,0.1701,-0.4603,-0.3568,0.1035,0.4014,0.2145,0.1869,-0.2945,-0.5546,0.2601
2093,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002093.jpg,-0.0653,0.0933,0.1586,1.2841,1.1533,0.1308,0.3387,0.5103,0.1716,1.7181,1.3355,0.3826,0.8896,1.0064,0.1168,-1.176,-0.9878,0.1882,0.3496,0.3838,0.0342
2097,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002097.jpg,-0.0401,0.1,0.1401,0.987,0.7754,0.2116,0.2452,0.1098,0.1354,-1.0138,-0.8708,0.143,-0.7431,-0.6929,0.0502,1.5543,1.298,0.2563,-0.7301,-0.5559,0.1742
2099,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002099.jpg,-0.047,0.3516,0.3986,-1.4258,-1.6274,0.2016,-0.0446,0.0106,0.0552,0.6735,0.4986,0.1749,-0.2794,-0.3654,0.086,-1.4175,-1.1866,0.2309,0.0464,-0.2509,0.2973
2100,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002100.jpg,-1.4801,-1.4043,0.0758,-1.0295,-1.3862,0.3567,0.4041,0.3804,0.0237,1.5658,1.7806,0.2148,-0.2879,-0.3622,0.0743,1.3611,1.0515,0.3096,-0.5843,-0.6955,0.1112
2102,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002102.jpg,-0.7597,-1.0078,0.2481,-0.7085,-0.6734,0.0351,0.2546,0.1349,0.1197,1.1207,0.9464,0.1743,-0.436,-0.4884,0.0524,1.37,1.5885,0.2185,-0.4418,0.219,0.6608
2107,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002107.jpg,-0.0437,0.2459,0.2896,-1.1758,-1.4183,0.2425,0.6192,0.6664,0.0472,-1.0138,-0.875,0.1388,-0.3436,-0.3348,0.0088,0.7344,1.0423,0.3079,-0.4687,-0.311,0.1577
2108,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002108.jpg,0.6591,0.6932,0.0341,0.7471,0.7832,0.0361,-0.8205,-0.5584,0.2621,1.1916,1.0903,0.1013,-0.4758,-0.5149,0.0391,0.9794,0.9745,0.0049,2.531,2.3173,0.2137
2109,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002109.jpg,-0.0623,-0.4424,0.3801,0.4574,0.4973,0.0399,-1.8489,-1.9434,0.0945,-1.0138,-0.9427,0.0711,-0.0783,-0.0704,0.0079,0.7703,0.731,0.0393,0.6973,0.7316,0.0343
2110,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002110.jpg,-0.0453,-0.0358,0.0095,0.6003,0.5198,0.0805,0.6939,0.539,0.1549,0.7858,1.1967,0.4109,-0.3311,-0.3871,0.056,0.9338,1.0814,0.1476,-0.6509,-0.5354,0.1155
2114,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002114.jpg,-0.7511,-0.6744,0.0767,-0.7186,-0.8161,0.0975,-0.2222,-0.1978,0.0244,-1.0138,-1.1249,0.1111,-0.4401,-0.4217,0.0184,0.7785,0.8621,0.0836,-0.7988,-0.8099,0.0111
2115,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002115.jpg,-0.0298,-0.0709,0.0411,0.2315,0.2139,0.0176,1.2642,1.084,0.1802,-0.6928,-0.9134,0.2206,-0.0857,-0.213,0.1273,0.4753,0.614,0.1387,0.2359,0.1387,0.0972
2116,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002116.jpg,-0.7999,-0.5955,0.2044,2.3518,2.4074,0.0556,0.1237,-0.1272,0.2509,0.9505,0.8657,0.0848,-0.2912,-0.3399,0.0487,1.4437,1.2253,0.2184,-0.8223,-0.6538,0.1685
2118,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002118.jpg,-1.4824,-1.3459,0.1365,1.1773,1.0158,0.1615,0.8342,0.8041,0.0301,1.3205,1.7171,0.3966,0.754,0.5836,0.1704,1.6048,1.3501,0.2547,-0.9917,-0.9325,0.0592
2119,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002119.jpg,-1.4801,-1.2135,0.2666,-1.0042,-0.9861,0.0181,0.8155,0.6757,0.1398,1.4593,1.225,0.2343,-0.5982,-0.6697,0.0715,-0.0603,0.0456,0.1059,0.2097,0.2675,0.0578
2121,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002121.jpg,-0.0808,-0.0833,0.0025,-1.1192,-1.1383,0.0191,0.1237,0.1499,0.0262,0.6458,0.5609,0.0849,-0.6762,-0.5922,0.084,1.2534,1.7108,0.4574,-0.7411,-1.0162,0.2751
2123,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002123.jpg,0.6533,0.5796,0.0737,-0.2406,-0.3403,0.0997,-2.8772,-3.1476,0.2704,-1.0138,-0.9379,0.0759,-0.614,-0.5208,0.0932,-1.6162,-1.4134,0.2028,0.1091,0.7055,0.5964
2127,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002127.jpg,0.6591,0.5011,0.158,-0.0551,0.0162,0.0713,-0.11,-0.5959,0.4859,0.6108,0.3983,0.2125,-0.4031,-0.5349,0.1318,1.2469,1.3801,0.1332,-0.2203,0.0698,0.2901
2130,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002130.jpg,0.6615,0.5844,0.0771,1.5049,1.4735,0.0314,0.5163,0.5062,0.0101,0.704,0.8092,0.1052,-0.6321,-0.5149,0.1172,-0.9027,-1.0133,0.1106,0.1316,-0.2788,0.4104
2131,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002131.jpg,-0.0412,-0.0391,0.0021,-0.1148,-0.081,0.0338,-1.2132,-1.2626,0.0494,0.7291,0.5961,0.133,-0.4905,-0.5978,0.1073,0.8496,0.8571,0.0075,-0.2089,-0.4026,0.1937
2132,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002132.jpg,-0.095,-0.1714,0.0764,1.8172,1.8107,0.0065,0.9183,1.017,0.0987,0.4366,0.5528,0.1162,0.5331,0.5692,0.0361,-0.9425,-0.9673,0.0248,-0.3406,-0.3199,0.0207
2134,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002134.jpg,-0.0453,-0.0497,0.0044,0.5149,0.3888,0.1261,0.965,1.0268,0.0618,1.5279,1.6783,0.1504,-0.5367,-0.5295,0.0072,-0.449,-0.5598,0.1108,1.5719,1.1351,0.4368
2135,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002135.jpg,-1.4874,-1.5121,0.0247,-0.419,-0.6032,0.1842,0.5537,0.5403,0.0134,1.362,1.7444,0.3824,-0.852,-0.7688,0.0832,-0.9229,-0.8471,0.0758,-0.1729,-0.2967,0.1238
2140,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002140.jpg,-1.4708,-1.559,0.0882,-0.4941,-0.5072,0.0131,0.4135,0.3907,0.0228,0.6711,0.5981,0.073,0.4714,0.6355,0.1641,-0.2969,-0.269,0.0279,-0.2442,-0.2324,0.0118
2142,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002142.jpg,0.6219,0.1551,0.4668,-0.5248,-0.3674,0.1574,-0.4279,-0.5596,0.1317,-1.0138,-0.9535,0.0603,0.1804,0.0919,0.0885,-0.8517,-0.8096,0.0421,0.3739,0.4714,0.0975
2143,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002143.jpg,-0.0424,-0.1674,0.125,-0.5758,-0.5398,0.036,-0.727,-0.8961,0.1691,-1.0138,-0.9461,0.0677,-0.6943,-0.5339,0.1604,1.1398,1.0501,0.0897,0.1057,-0.1488,0.2545
2144,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002144.jpg,-0.047,-0.089,0.042,1.6387,1.6838,0.0451,-1.2319,-0.8721,0.3598,-1.0138,-1.2673,0.2535,-0.4769,-0.4497,0.0272,-0.227,-0.2354,0.0084,-0.3204,-0.1054,0.215
2147,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002147.jpg,0.6909,0.6383,0.0526,-1.0306,-1.0506,0.02,1.3951,1.3155,0.0796,0.5165,0.5867,0.0702,0.1813,0.193,0.0117,-0.459,-0.243,0.216,-0.6505,-0.4594,0.1911
2148,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002148.jpg,-1.4676,-0.9974,0.4702,0.8232,0.7847,0.0385,0.6472,0.666,0.0188,-0.9814,-0.8699,0.1115,-0.3705,-0.3748,0.0043,1.553,1.3413,0.2117,-0.8551,-0.708,0.1471
2150,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002150.jpg,0.6897,0.6715,0.0182,2.3306,2.2324,0.0982,-0.1755,-0.2004,0.0249,0.333,0.3285,0.0045,0.9324,1.0725,0.1401,1.1859,1.2268,0.0409,0.5894,0.4315,0.1579
2152,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002152.jpg,0.6563,1.3074,0.6511,-0.5719,-0.6255,0.0536,0.1611,0.008,0.1531,-0.8111,-0.8781,0.067,-0.2611,-0.173,0.0881,1.3724,1.2431,0.1293,-0.7992,-0.5345,0.2647
2153,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002153.jpg,-0.7665,-0.5517,0.2148,0.0545,-0.0025,0.057,0.4976,0.4352,0.0624,0.781,0.8475,0.0665,-0.481,-0.5179,0.0369,-1.7451,-1.5256,0.2195,-0.8649,-0.6217,0.2432
2156,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002156.jpg,1.3959,1.2396,0.1563,0.7902,0.8758,0.0856,0.2639,0.5175,0.2536,-1.0138,-1.024,0.0102,-0.3072,-0.2774,0.0298,-1.6392,-1.7265,0.0873,-0.8521,-0.5851,0.267
2157,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002157.jpg,-1.4705,-1.4746,0.0041,-0.4715,-0.4612,0.0103,0.909,0.7436,0.1654,-1.0138,-1.1506,0.1368,0.3915,0.3397,0.0518,1.114,1.0547,0.0593,-0.4822,-0.2927,0.1895
2163,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002163.jpg,2.0632,1.9599,0.1033,-0.7833,-0.7345,0.0488,1.0585,0.8664,0.1921,-1.0138,-1.0659,0.0521,0.008,0.0736,0.0656,-1.0145,-0.9964,0.0181,-0.1905,0.6472,0.8377
2165,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002165.jpg,0.6498,0.1156,0.5342,-0.8226,-0.8536,0.031,1.124,0.8456,0.2784,0.5096,0.5468,0.0372,-0.5048,-0.6337,0.1289,-0.3804,-0.2765,0.1039,2.0611,1.763,0.2981
2170,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002170.jpg,0.6901,0.3519,0.3382,-0.1414,-0.2483,0.1069,0.9744,0.8912,0.0832,-0.1647,-0.0553,0.1094,-0.5135,-0.5713,0.0578,0.4642,0.3203,0.1439,0.3299,0.3915,0.0616
2171,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002171.jpg,0.6498,0.7812,0.1314,0.4,0.326,0.074,0.4696,0.1393,0.3303,-1.0138,-0.9432,0.0706,-0.4275,-0.445,0.0175,0.3737,0.2885,0.0852,-0.6644,-0.4821,0.1823
2172,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002172.jpg,0.5045,0.4117,0.0928,0.5728,0.6212,0.0484,-0.1755,-0.1637,0.0118,-1.0138,-1.004,0.0098,2.4761,2.7105,0.2344,1.4125,1.438,0.0255,-0.7568,-0.6183,0.1385
2174,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002174.jpg,-0.0653,0.3021,0.3674,0.2352,0.2041,0.0311,0.1517,0.0704,0.0813,1.1214,0.8394,0.282,-0.5467,-0.4885,0.0582,-0.5254,-0.7739,0.2485,-0.8817,-0.6296,0.2521
2175,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002175.jpg,1.3723,1.3495,0.0228,0.3643,0.356,0.0083,0.7874,0.8183,0.0309,-1.0138,-0.9461,0.0677,-0.0855,0.0838,0.1693,0.455,0.3547,0.1003,0.0199,0.2477,0.2278
2176,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002176.jpg,-0.0303,0.2801,0.3104,-1.183,-0.9886,0.1944,0.6659,0.542,0.1239,-1.0138,-1.1317,0.1179,-0.6337,-0.6411,0.0074,-1.361,-1.3291,0.0319,-0.2424,-0.7775,0.5351
2178,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002178.jpg,-0.7514,-0.991,0.2396,1.6385,1.548,0.0905,-0.5775,-0.7172,0.1397,1.315,1.1765,0.1385,-0.5678,-0.6781,0.1103,-0.7633,-0.4779,0.2854,0.0195,0.0092,0.0103
2181,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002181.jpg,-1.4812,-1.1825,0.2987,-0.7547,-0.7947,0.04,0.4602,0.5736,0.1134,1.5412,1.4056,0.1356,1.1068,1.0598,0.047,0.5869,0.5415,0.0454,-0.8625,-0.3737,0.4888
2184,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002184.jpg,0.6321,0.9309,0.2988,-1.0183,-0.9273,0.091,-0.2503,-0.1628,0.0875,-0.385,-0.4151,0.0301,-0.477,-0.4392,0.0378,1.4833,1.4534,0.0299,-0.902,-1.1246,0.2226
2185,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002185.jpg,-0.1077,0.1233,0.231,1.9989,1.9875,0.0114,-0.1287,-0.0692,0.0595,0.0019,-0.2008,0.2027,1.7203,1.7516,0.0313,-0.8523,-0.9927,0.1404,-0.0872,-0.4124,0.3252
2186,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002186.jpg,-4.3575,-3.7613,0.5962,0.4813,0.3221,0.1592,0.4509,0.524,0.0731,1.1429,0.9996,0.1433,-0.4318,-0.3532,0.0786,-1.0267,-0.9429,0.0838,-0.8166,-0.9141,0.0975
2189,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002189.jpg,-0.7502,-0.6358,0.1144,-0.8608,-0.8865,0.0257,-0.0726,-0.1766,0.104,0.4192,0.2188,0.2004,0.1779,0.1791,0.0012,0.1914,0.0355,0.1559,-0.2604,-0.4248,0.1644
2192,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002192.jpg,0.6727,0.543,0.1297,1.2873,1.312,0.0247,-1.6058,-1.3662,0.2396,-0.3441,-0.7007,0.3566,-0.6945,-0.6778,0.0167,1.094,0.8615,0.2325,0.5295,0.515,0.0145
2194,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002194.jpg,0.6159,0.1604,0.4555,1.905,1.9265,0.0215,0.909,0.5778,0.3312,-1.0138,-0.888,0.1258,2.2786,2.2339,0.0447,-0.0565,0.0899,0.1464,-0.6846,-0.0097,0.6749
2195,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002195.jpg,1.3649,1.0926,0.2723,1.373,1.2008,0.1722,0.0582,0.2547,0.1965,-0.8227,-0.6187,0.204,1.633,1.846,0.213,1.5379,1.5734,0.0355,-0.8721,-0.7965,0.0756
2196,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002196.jpg,-2.1883,-1.8483,0.34,0.947,0.6539,0.2931,0.6472,0.7397,0.0925,1.9735,1.5086,0.4649,-0.7239,-0.5314,0.1925,-1.0737,-1.2785,0.2048,-0.715,-0.735,0.02
2197,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002197.jpg,0.6744,0.8635,0.1891,-0.5644,-0.5176,0.0468,0.7968,0.8068,0.01,-0.5573,-0.3572,0.2001,-0.7714,-0.7573,0.0141,0.9131,1.089,0.1759,1.4468,1.2514,0.1954
2198,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002198.jpg,-0.0424,-0.1678,0.1254,0.0321,-0.1318,0.1639,0.6939,0.7692,0.0753,0.3001,0.1377,0.1624,1.2696,1.1017,0.1679,0.2794,0.2969,0.0175,-0.9279,-0.5099,0.418
2199,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002199.jpg,0.6219,0.3594,0.2625,-0.7858,-0.8687,0.0829,0.722,0.5886,0.1334,-0.0897,-0.0353,0.0544,-0.3756,-0.4168,0.0412,0.7716,0.8373,0.0657,1.1655,1.0047,0.1608
2200,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002200.jpg,-0.0412,0.0252,0.0664,0.1605,0.1765,0.016,0.6098,0.7371,0.1273,-1.0138,-1.0535,0.0397,-0.6328,-0.727,0.0942,-1.021,-1.1088,0.0878,-0.5515,-0.6396,0.0881
2202,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002202.jpg,-0.7507,-0.7793,0.0286,-0.1398,-0.2586,0.1188,0.3574,0.2707,0.0867,-1.0138,-1.2446,0.2308,-0.5218,-0.5519,0.0301,1.4272,1.3586,0.0686,-0.8573,-0.7136,0.1437
2205,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002205.jpg,1.4094,0.4696,0.9398,-0.3074,-0.0695,0.2379,0.9557,0.045,0.9107,-0.8487,-0.7784,0.0703,-0.4547,-0.4459,0.0088,0.3741,0.661,0.2869,2.2032,0.111,2.0922
2212,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002212.jpg,-0.8109,-0.6636,0.1473,1.38,1.3495,0.0305,-0.484,-0.3197,0.1643,0.8661,0.8247,0.0414,-0.5756,-0.6273,0.0517,-1.2746,-1.3202,0.0456,-0.8299,-0.646,0.1839
2220,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002220.jpg,1.3926,1.1813,0.2113,0.4365,0.2471,0.1894,-1.0636,-1.0859,0.0223,1.0631,1.0656,0.0025,-0.0116,-0.059,0.0474,0.434,0.363,0.071,-0.8169,-0.6346,0.1823
2221,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002221.jpg,-0.0424,-0.0721,0.0297,0.9253,0.7715,0.1538,0.8622,0.9634,0.1012,-1.0138,-1.0075,0.0063,-0.2229,-0.1317,0.0912,1.3456,1.3782,0.0326,-0.9248,-0.9071,0.0177
2223,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002223.jpg,-0.7684,-0.5008,0.2676,-0.2677,-0.3803,0.1126,-2.7276,-2.59,0.1376,-1.0138,-0.9587,0.0551,-1.2774,-1.4609,0.1835,-0.7869,-0.5483,0.2386,1.7052,1.3374,0.3678
2224,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002224.jpg,-0.7597,-0.7962,0.0365,-1.2506,-1.2676,0.017,0.9183,0.7571,0.1612,-1.0138,-1.0603,0.0465,-0.588,-0.5282,0.0598,-0.4591,-0.4259,0.0332,-0.3423,-0.5598,0.2175
2229,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002229.jpg,-0.0687,-0.2532,0.1845,-1.201,-1.104,0.097,-0.0726,-0.2284,0.1558,0.9577,0.7908,0.1669,-0.3006,-0.3355,0.0349,0.6732,0.799,0.1258,-0.8538,-0.8634,0.0096
2231,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002231.jpg,0.6744,0.1696,0.5048,-0.393,-0.4354,0.0424,0.535,0.4853,0.0497,1.0025,0.8441,0.1584,-0.1668,-0.2235,0.0567,0.6689,0.7098,0.0409,1.7956,1.6568,0.1388
2232,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002232.jpg,-0.8545,-1.1114,0.2569,0.011,0.0449,0.0339,0.1798,0.2019,0.0221,-1.0138,-1.4135,0.3997,3.2089,2.601,0.6079,-0.126,-0.115,0.011,0.5612,1.0354,0.4742
2235,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002235.jpg,-0.0424,0.0985,0.1409,-0.8702,-0.8785,0.0083,0.5818,0.5947,0.0129,0.0643,0.0975,0.0332,-0.4505,-0.5336,0.0831,0.8418,0.5383,0.3035,-0.808,-0.8312,0.0232
2236,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002236.jpg,-0.7504,-0.7835,0.0331,-0.0235,-0.0253,0.0018,0.6285,0.5608,0.0677,1.4176,1.5146,0.097,-0.4749,-0.5174,0.0425,0.4028,0.6774,0.2746,-0.6317,-0.4436,0.1881
2238,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002238.jpg,-0.0424,0.0149,0.0573,0.3181,0.2946,0.0235,0.5257,0.4807,0.045,-1.0138,-1.1599,0.1461,-0.4615,-0.4801,0.0186,-1.1145,-1.1791,0.0646,-0.8716,-0.8293,0.0423
2240,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002240.jpg,-0.0623,0.1414,0.2037,0.28,0.0898,0.1902,-1.0075,-0.6413,0.3662,0.6954,0.7228,0.0274,-0.8157,-0.7772,0.0385,-0.5906,-0.3814,0.2092,-0.6327,-0.4935,0.1392
2241,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/002241.jpg,0.6591,0.4791,0.18,-0.6803,-0.9941,0.3138,0.0022,0.0306,0.0284,-1.0138,-1.0868,0.073,2.4613,2.6432,0.1819,-0.4692,-0.3719,0.0973,-0.5213,-0.4032,0.1181
