,img_no,img_path,hairstyle_score
1293,5362,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005362.jpg,-0.8902
1294,5363,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005363.jpg,0.1195
1295,5366,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005366.jpg,-1.0508
1296,5369,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005369.jpg,1.8398
1297,5371,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005371.jpg,1.3824
1298,5372,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005372.jpg,1.6517
1299,5377,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005377.jpg,-0.4709
1300,5378,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005378.jpg,0.431
1301,5379,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005379.jpg,-1.2531
1302,5380,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005380.jpg,-0.566
1303,5383,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005383.jpg,1.4062
1304,5389,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005389.jpg,-0.1933
1305,5390,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005390.jpg,0.1195
1306,5392,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005392.jpg,-2.4069
1307,5397,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005397.jpg,-0.2295
1308,5398,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005398.jpg,-1.5418
1309,5402,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005402.jpg,-0.0911
1310,5403,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005403.jpg,-0.3846
1311,5405,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005405.jpg,0.9264
1312,5406,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005406.jpg,0.3745
1313,5407,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005407.jpg,0.9628
1314,5409,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005409.jpg,-0.0021
1315,5411,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005411.jpg,-0.6767
1316,5412,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005412.jpg,1.0188
1317,5415,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005415.jpg,-2.0832
1318,5416,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005416.jpg,1.792
1319,5417,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005417.jpg,-0.2209
1320,5418,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005418.jpg,-0.3922
1321,5419,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005419.jpg,1.5137
1322,5420,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005420.jpg,-0.2355
1323,5425,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005425.jpg,0.2544
1324,5427,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005427.jpg,-0.3548
1325,5428,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005428.jpg,0.3274
1326,5430,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005430.jpg,-0.7642
1327,5431,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005431.jpg,0.2203
1328,5435,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005435.jpg,-0.0205
1329,5439,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005439.jpg,-1.0348
1330,5442,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005442.jpg,-0.1084
1331,5449,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005449.jpg,-1.1318
1332,5451,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005451.jpg,-0.0549
1333,5453,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005453.jpg,-0.5549
1334,5457,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005457.jpg,-1.524
1335,5460,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005460.jpg,2.0578
1336,5465,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005465.jpg,-0.9866
1337,5466,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005466.jpg,-0.051
1338,5470,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005470.jpg,-0.3864
1339,5472,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005472.jpg,-0.5477
1340,5474,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005474.jpg,-0.4868
1341,5475,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005475.jpg,0.1204
1342,5482,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005482.jpg,-0.0208
1343,5485,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005485.jpg,-0.1365
1344,5488,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005488.jpg,-1.3126
1345,5490,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005490.jpg,-1.106
1346,5491,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005491.jpg,-0.8622
1347,5495,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005495.jpg,1.8248
1348,5496,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005496.jpg,0.3533
1349,5498,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005498.jpg,0.1184
1350,5500,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005500.jpg,0.4471
1351,5502,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005502.jpg,-0.2017
1352,5504,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005504.jpg,0.2506
1353,5505,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005505.jpg,-0.8216
1354,5507,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005507.jpg,2.1615
1355,5508,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005508.jpg,1.5819
1356,5510,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005510.jpg,-0.4052
1357,5511,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005511.jpg,1.1847
1358,5520,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005520.jpg,-0.7114
1359,5525,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005525.jpg,-0.1239
1360,5526,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005526.jpg,1.453
1361,5527,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005527.jpg,-0.951
1362,5529,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005529.jpg,-0.4039
1363,5530,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005530.jpg,-0.6637
1364,5532,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005532.jpg,-1.2764
1365,5536,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005536.jpg,-0.7123
1366,5539,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005539.jpg,-0.1914
1367,5541,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005541.jpg,0.2686
1368,5542,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005542.jpg,0.1149
1369,5546,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005546.jpg,3.1196
1370,5550,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005550.jpg,0.6005
1371,5551,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005551.jpg,-0.1589
1372,5556,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005556.jpg,-0.4817
1373,5557,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005557.jpg,-1.3948
1374,5559,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005559.jpg,-0.1519
1375,5561,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005561.jpg,-0.3222
1376,5563,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005563.jpg,1.0906
1377,5565,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005565.jpg,-0.0645
1378,5566,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005566.jpg,0.6371
1379,5568,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005568.jpg,1.1449
1380,5571,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005571.jpg,0.7331
1381,5573,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005573.jpg,-0.1856
1382,5580,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005580.jpg,-1.2737
1383,5585,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005585.jpg,0.0144
1384,5586,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005586.jpg,0.6762
1385,5589,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005589.jpg,-1.0567
1386,5591,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005591.jpg,-0.1922
1387,5592,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005592.jpg,-0.6024
1388,5596,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005596.jpg,-0.8728
1389,5598,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005598.jpg,-0.1732
1390,5603,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005603.jpg,1.4784
1391,5604,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005604.jpg,-0.2629
1392,5605,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005605.jpg,-1.5973
1393,5607,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005607.jpg,0.3389
1394,5609,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005609.jpg,-0.3406
1395,5610,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005610.jpg,2.919
1396,5612,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005612.jpg,0.8331
1397,5617,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005617.jpg,-0.4427
1398,5619,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005619.jpg,-1.3708
1399,5622,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005622.jpg,-0.5126
1400,5625,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005625.jpg,-0.5436
1401,5628,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005628.jpg,0.96
1402,5629,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005629.jpg,0.0336
1403,5631,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005631.jpg,-0.4273
1404,5634,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005634.jpg,-1.3634
1405,5636,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005636.jpg,-0.9719
1406,5641,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005641.jpg,-0.1097
1407,5643,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005643.jpg,0.6978
1408,5645,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005645.jpg,-0.0996
1409,5646,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005646.jpg,2.106
1410,5647,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005647.jpg,-0.8646
1411,5649,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005649.jpg,-0.9129
1412,5654,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005654.jpg,-0.5265
1413,5662,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005662.jpg,0.044
1414,5663,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005663.jpg,-0.5881
1415,5666,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005666.jpg,-0.9787
1416,5668,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005668.jpg,0.9042
1417,5669,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005669.jpg,0.4731
1418,5670,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005670.jpg,-1.0301
1419,5671,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005671.jpg,0.0556
1420,5675,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005675.jpg,-0.19
1421,5676,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005676.jpg,0.9617
1422,5678,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005678.jpg,1.0967
1423,5680,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005680.jpg,4.0502
1424,5681,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005681.jpg,2.6167
1425,5682,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005682.jpg,-0.4526
1426,5683,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005683.jpg,-1.2754
1427,5684,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005684.jpg,0.4491
1428,5693,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005693.jpg,0.1629
1429,5694,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005694.jpg,0.9049
1430,5697,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005697.jpg,1.5228
1431,5700,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005700.jpg,0.1439
1432,5706,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005706.jpg,0.0169
1433,5710,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005710.jpg,2.1459
1434,5714,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005714.jpg,0.2481
1435,5715,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005715.jpg,-0.8334
1436,5718,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005718.jpg,0.5189
1437,5719,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005719.jpg,-1.5828
1438,5721,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005721.jpg,-0.798
1439,5724,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005724.jpg,0.1979
1440,5731,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005731.jpg,0.0882
1441,5732,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005732.jpg,-0.2083
1442,5733,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005733.jpg,2.2186
1443,5736,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005736.jpg,-0.5267
1444,5738,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005738.jpg,0.0688
1445,5739,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005739.jpg,0.2749
1446,5745,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005745.jpg,0.3398
1447,5746,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005746.jpg,-0.0307
1448,5749,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005749.jpg,-0.654
1449,5750,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005750.jpg,0.2488
1450,5751,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005751.jpg,-0.2559
1451,5752,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005752.jpg,1.0466
1452,5756,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005756.jpg,0.7194
1453,5759,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005759.jpg,-0.5625
1454,5764,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005764.jpg,0.1497
1455,5766,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005766.jpg,-2.1881
1456,5767,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005767.jpg,0.2328
1457,5768,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005768.jpg,-0.783
1458,5771,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005771.jpg,0.5295
1459,5773,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005773.jpg,-0.3581
1460,5775,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005775.jpg,-0.45
1461,5779,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005779.jpg,1.9324
1462,5784,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005784.jpg,-0.7399
1463,5785,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005785.jpg,0.6211
1464,5791,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005791.jpg,0.4101
1465,5792,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005792.jpg,0.1667
1466,5796,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005796.jpg,0.8475
1467,5799,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005799.jpg,0.3712
1468,5800,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005800.jpg,6.7482
1469,5805,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005805.jpg,-0.0347
1470,5806,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005806.jpg,0.1976
1471,5807,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005807.jpg,-0.382
1472,5809,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005809.jpg,1.3522
1473,5810,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005810.jpg,0.1195
1474,5817,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005817.jpg,0.4107
1475,5821,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005821.jpg,0.222
1476,5822,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005822.jpg,-0.5978
1477,5823,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005823.jpg,-1.7826
1478,5824,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005824.jpg,-1.4537
1479,5826,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005826.jpg,0.1195
1480,5827,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005827.jpg,0.1195
1481,5830,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005830.jpg,0.1195
1482,5832,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005832.jpg,-1.0948
1483,5833,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005833.jpg,0.1195
1484,5843,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005843.jpg,0.2562
1485,5846,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005846.jpg,-0.2496
1486,5847,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005847.jpg,-0.0056
1487,5848,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images_filtered/005848.jpg,0.7232
