img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
1645,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001645.jpg,-0.9449,-0.4926,0.1464,-0.0696,-0.1352,-0.0705,-0.4923
1646,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001646.jpg,-0.2382,0.3283,1.1577,1.6447,-0.3707,-0.1418,-1.1122
1647,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001647.jpg,-0.4951,1.581,1.1114,-0.9924,0.4819,-0.5525,-0.5886
1649,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001649.jpg,-0.4179,-0.3088,-0.1534,-1.0184,1.7248,0.2084,0.965
1650,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001650.jpg,0.1121,-1.3773,0.4954,-1.0946,1.0582,-0.5856,-0.6518
1651,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001651.jpg,-0.3131,1.5399,0.4796,-0.9325,-0.2465,-0.4203,1.2561
1653,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001653.jpg,-0.3923,-0.361,-2.9423,0.9341,0.3417,-1.0676,3.2549
1654,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001654.jpg,-0.3066,1.5824,1.0203,-0.9463,-0.2423,-0.0706,-0.6397
1657,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001657.jpg,-0.1917,-0.1336,-1.0566,1.4527,-0.4732,-0.633,-0.0879
1660,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001660.jpg,0.0309,-0.7383,-0.984,1.1632,-0.5134,-1.429,-0.8092
1663,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001663.jpg,0.9956,-0.9089,0.5038,-0.2652,-0.222,0.1349,-0.5814
1664,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001664.jpg,-0.461,1.5837,0.5178,0.4212,-0.6567,-1.049,-0.4437
1665,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001665.jpg,-0.7738,-1.0234,0.0922,0.3398,-0.2749,-1.5131,-0.0589
1668,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001668.jpg,0.4675,-0.6002,0.7437,-1.0059,-0.4025,0.1231,-0.6747
1670,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001670.jpg,0.1396,0.1001,-2.9788,-0.9621,-0.4717,-1.1257,-0.2457
1671,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001671.jpg,0.5263,-1.0654,-0.3347,-0.8644,-0.6093,-1.7034,-1.0382
1672,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001672.jpg,-0.6814,-0.3877,1.0072,-0.803,0.0192,0.2524,2.5665
1674,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001674.jpg,-0.1707,-0.9881,0.5684,0.8883,0.1489,0.7937,0.576
1675,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001675.jpg,-0.416,0.5709,0.0246,0.7215,0.4639,-0.133,0.427
1676,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001676.jpg,-0.042,-0.6128,-2.3972,0.406,-0.5839,-0.5503,1.0076
1678,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001678.jpg,0.1472,-0.8385,-1.9745,-0.8049,-0.6328,-0.7394,-0.4607
1679,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001679.jpg,-0.8534,-0.6428,1.173,1.3034,2.694,-0.037,-0.3986
1683,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001683.jpg,0.5106,-0.261,-0.1092,-0.7123,-0.3415,-0.9321,0.1795
1684,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001684.jpg,-0.5987,-0.6206,0.7782,2.0708,-0.6626,-0.3986,-0.2442
1685,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001685.jpg,-0.6154,-0.8236,-0.3002,-0.6953,-0.4279,-0.2069,-1.08
1687,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001687.jpg,-0.5925,0.6126,0.0158,-0.9847,-0.2083,-0.8869,-0.7678
1691,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001691.jpg,0.9084,1.2349,-1.3534,0.7958,0.8931,0.4414,1.2414
1693,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001693.jpg,0.2951,0.6147,0.0417,-0.9406,-0.1115,1.1629,-0.6535
1698,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001698.jpg,-0.2617,-0.9411,0.6965,-1.1538,1.3789,-1.3972,-0.2971
1700,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001700.jpg,-1.6363,-0.7532,0.8388,-0.7143,0.2472,0.8017,0.8615
1702,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001702.jpg,-0.7498,0.0972,0.1808,0.098,-0.0729,-0.4499,0.8798
1703,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001703.jpg,-0.7882,-0.6109,-0.3055,-0.1229,-0.0151,1.4049,-0.5619
1704,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001704.jpg,-0.7124,-0.2056,1.2433,1.4155,-0.2712,0.016,1.7563
1705,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001705.jpg,0.9146,0.0285,-1.2402,-1.1849,-0.3943,-0.816,0.4296
1706,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001706.jpg,-0.972,1.357,0.6104,1.3421,-0.5921,0.5502,0.7862
1707,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001707.jpg,2.4386,0.2083,0.9622,-0.0338,-0.646,-1.4745,-0.0433
1714,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001714.jpg,-0.5641,0.0152,-0.7644,-0.2627,2.4623,-0.1001,1.8949
1715,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001715.jpg,1.3597,-0.2287,0.8801,0.1692,-0.0252,0.9584,-0.457
1716,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001716.jpg,-0.9167,-0.3964,0.0248,-0.8681,-0.6563,-1.3577,-0.1348
1717,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001717.jpg,-0.3152,1.8726,-0.052,-1.0157,-0.4459,-1.0513,-0.3622
1718,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001718.jpg,-0.7604,2.2727,-1.655,0.499,-0.2636,-0.3567,0.7933
1722,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001722.jpg,-0.175,0.2234,0.4491,0.2285,-0.4793,-1.4467,-1.0518
1724,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001724.jpg,0.0577,-0.2232,0.8229,-1.1529,-0.3369,1.4242,-0.8183
1726,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001726.jpg,-0.7795,-0.7284,0.8586,-1.054,-0.5701,-1.167,-0.3308
1727,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001727.jpg,0.1383,-0.7161,0.2777,1.0875,-0.3274,0.2238,-0.1155
1728,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001728.jpg,0.401,-0.5694,-1.4988,-1.0201,-0.4192,0.012,0.0349
1729,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001729.jpg,1.3689,1.9454,1.2127,-0.927,-0.4858,0.0409,1.165
1731,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001731.jpg,1.4113,-0.8575,0.4479,-1.1229,-0.2919,-1.3755,0.0213
1732,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001732.jpg,-0.307,-0.9902,0.5138,-0.5119,1.6408,-1.646,-1.2295
1735,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001735.jpg,0.6075,-0.6649,0.5068,-0.3251,-0.145,0.6971,-0.6838
1736,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001736.jpg,-1.0544,-0.9077,0.5053,1.6782,0.6134,0.3329,1.7226
1737,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001737.jpg,-0.4747,-0.3796,0.7857,0.5177,-0.3651,-0.5769,-0.0696
1739,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001739.jpg,-0.1703,2.2786,0.4751,1.3205,-0.4614,0.2403,0.2248
1740,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001740.jpg,-2.1471,-0.9125,-0.5031,1.3644,0.0489,0.4373,0.7863
1741,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001741.jpg,-1.0693,1.5584,-0.5689,1.25,0.7684,1.1693,-0.4229
1742,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001742.jpg,-0.7376,0.3061,0.9192,1.253,0.2631,-1.3193,-0.7563
1743,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001743.jpg,-0.1808,-0.8822,-0.8706,-1.0486,0.1053,0.9847,1.7177
1746,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001746.jpg,0.895,0.3973,1.2406,-0.8552,1.6479,-0.2756,-0.82
1747,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001747.jpg,0.2493,-1.216,-1.9069,-0.9338,0.1337,1.4134,0.9517
1748,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001748.jpg,0.626,-1.2357,0.088,1.3216,0.3492,-0.3728,3.1933
1750,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001750.jpg,0.1983,1.56,0.5864,-0.6808,2.5976,-0.2778,-0.4701
1751,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001751.jpg,0.9221,-0.9816,-0.4222,-0.5639,-0.3922,-0.5859,-0.9832
1752,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001752.jpg,-0.164,-0.2056,0.2198,-0.8231,-0.524,-0.5114,-0.7036
1754,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001754.jpg,-1.5309,0.4608,1.0739,-0.7196,-0.8574,-1.4714,0.4406
1755,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001755.jpg,0.8678,0.1097,0.7864,0.0253,3.1858,0.3863,-0.4306
1759,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001759.jpg,-0.0532,-0.8845,0.1355,-0.1205,-0.2067,-0.8409,-0.4466
1760,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001760.jpg,1.2851,-1.8578,0.2681,-1.0598,0.1702,0.1828,0.4848
1768,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001768.jpg,1.6527,-0.7628,1.1825,1.3565,-0.5418,0.1708,-0.5285
1769,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001769.jpg,-0.683,-0.4857,-1.6743,-0.9218,-0.4521,-0.4888,-0.1866
1778,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001778.jpg,0.0948,-1.2966,0.3638,0.426,-0.3227,-0.3484,-0.2721
1780,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001780.jpg,-0.142,0.7675,-0.2621,-0.9715,-0.5126,0.0082,-0.2367
1784,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001784.jpg,1.0905,1.6999,-0.667,-1.0837,-0.5298,1.171,-1.0556
1786,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001786.jpg,-3.129,-0.5966,0.0167,-0.5281,-0.9336,-0.7711,0.3995
1788,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001788.jpg,0.5846,1.3602,-0.0353,-1.0011,0.0978,-0.863,0.1918
1789,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001789.jpg,-0.1096,-0.7772,-0.5799,0.4788,0.2422,-0.0527,0.6985
1791,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001791.jpg,-0.5173,1.3879,1.2054,-0.7657,0.1695,-0.4316,-0.3513
1793,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001793.jpg,1.1971,0.4163,-1.2874,-0.3505,-0.1991,0.4235,0.4377
1794,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001794.jpg,1.3707,-1.5403,-0.0513,-1.1071,-0.1856,-0.2989,-0.4674
1795,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001795.jpg,-0.8221,0.0473,0.1334,1.3468,-0.2759,-1.3948,-0.2506
1796,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001796.jpg,0.9981,-1.0519,0.2075,-1.1943,2.3781,1.1998,-1.3509
1797,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001797.jpg,1.5585,1.2471,1.0808,-0.8269,-0.6485,0.4217,-1.0151
1798,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001798.jpg,1.0955,0.7422,-2.944,0.5673,-0.2122,1.0378,1.3003
1799,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001799.jpg,-0.3436,0.1027,-1.8638,0.1656,-0.7504,-0.7134,-0.3608
1800,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001800.jpg,0.971,-0.8212,0.0951,1.4114,-0.3718,-1.4397,-0.4334
1801,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001801.jpg,-0.0029,-1.1341,-0.3465,-0.8768,-0.5555,-1.4799,-0.3146
1802,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001802.jpg,0.9563,-0.6945,0.8902,-1.0037,-0.1354,1.0593,0.5943
1803,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001803.jpg,-1.2229,-0.7447,0.7659,0.7758,-0.7715,-1.1656,-0.0968
1804,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001804.jpg,-0.4428,-0.4251,0.912,1.1949,-1.048,-0.5077,0.1934
1805,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001805.jpg,-0.856,-0.3587,0.5415,-0.9829,-0.1973,0.8547,0.0684
1806,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001806.jpg,0.3307,-0.2543,0.1295,1.8607,1.2929,1.6607,-1.4138
1807,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001807.jpg,0.6054,-0.3703,0.551,-0.6337,2.577,1.0677,-1.0822
1810,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001810.jpg,0.2786,-0.349,0.1622,-1.1219,-0.1681,-0.3484,0.2012
1813,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001813.jpg,0.0417,-0.3291,1.2747,-0.8613,1.5384,0.2744,-0.5697
1815,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001815.jpg,0.2315,0.9456,0.5722,-0.7579,-0.3383,0.9621,-0.384
1817,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001817.jpg,0.0028,-0.5708,-1.4721,1.4635,-0.3469,1.2086,2.3538
1821,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001821.jpg,-0.1959,-0.4114,0.2631,-1.0057,-0.3142,1.0575,-0.4854
1824,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001824.jpg,-1.1403,-0.9262,-1.7142,1.451,-0.6288,1.2515,0.4212
1825,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001825.jpg,0.4465,0.005,1.4574,-0.8099,0.4515,1.6219,-1.0139
1826,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001826.jpg,-0.7458,0.5695,0.3406,0.3643,2.1915,0.7245,0.9262
1829,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001829.jpg,-0.1436,1.7767,0.7884,1.5535,-0.3344,0.0189,-0.2197
1831,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001831.jpg,-1.243,-0.9096,-0.3512,1.4466,-0.3547,-0.9694,0.151
1835,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001835.jpg,0.6712,1.2974,0.3693,-0.989,-0.1383,0.2627,-0.9809
1838,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001838.jpg,0.674,0.0614,1.1175,-0.835,0.551,-1.3331,-0.4144
1839,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001839.jpg,1.4899,0.3652,0.6594,-1.1213,-0.3605,-1.2101,-0.3646
1840,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001840.jpg,0.2331,-1.4762,0.3243,0.0336,3.2116,-1.4654,-0.8123
1841,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001841.jpg,-0.1133,0.3561,-2.0859,0.698,-0.6215,-0.2924,1.4343
1842,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001842.jpg,1.2929,-1.3454,0.0239,-0.9018,-0.4269,-1.3434,1.6196
1843,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001843.jpg,-0.9872,-0.1405,0.4879,1.1077,-0.3855,1.817,-0.5125
1847,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001847.jpg,-0.3322,0.9484,-1e-04,-0.9774,-0.3523,1.1101,-0.4121
1852,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001852.jpg,-0.2124,-0.0133,0.2572,-0.1489,-0.6645,-0.3872,0.6831
1854,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001854.jpg,-1.0368,0.7628,0.6061,-1.155,-0.5867,0.9466,-0.3708
1857,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001857.jpg,-0.7106,1.0153,-0.2648,-0.8062,-0.4425,-1.3005,-0.6068
1858,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001858.jpg,-0.1072,-0.7893,1.2206,-1.2416,2.0761,1.7423,-1.1086
1860,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001860.jpg,0.5847,-0.6668,-1.4339,-1.145,0.4812,-0.7601,-0.3571
1862,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001862.jpg,0.4581,-0.0999,-1.2306,0.9972,2.8423,0.9452,-0.8595
1865,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001865.jpg,-1.4618,-0.8735,-0.0752,0.0122,2.8165,-1.8473,-0.5923
1866,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001866.jpg,1.4853,0.9622,0.7433,-0.6266,-0.5373,0.7888,0.7479
1869,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001869.jpg,-0.273,0.2386,0.6703,-0.4208,-0.3745,0.5574,-0.4391
1877,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001877.jpg,-0.8701,-0.6945,0.5969,-1.0466,0.455,1.4445,-1.0934
1878,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001878.jpg,1.2375,-0.1145,0.0696,-0.2707,-0.5385,1.0198,-0.4742
1881,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001881.jpg,0.9884,-1.5536,-0.2806,-0.7438,-0.5639,-1.164,0.5993
1882,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001882.jpg,1.1774,0.4509,0.3543,-0.1897,-0.567,-0.133,-0.6103
1884,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001884.jpg,-1.4528,0.5819,-0.0385,1.0715,-0.4472,-0.1214,1.2775
1888,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001888.jpg,-1.0757,0.1709,0.6462,1.2399,0.658,1.0072,0.4637
1889,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001889.jpg,-0.7968,-1.3526,-0.9232,0.854,0.8417,-1.583,0.2222
1890,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001890.jpg,1.5124,-0.6345,1.0681,-1.0666,-0.5943,-0.4183,-0.0268
