,img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
606,1099,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001099.jpg,0.7911,0.8899,-2.268,-1.1024,0.1584,-0.274,0.0066
607,1101,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001101.jpg,-1.3501,-0.3681,0.7441,0.411,0.5771,-0.6296,2.0025
608,1105,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001105.jpg,-0.6363,-1.6392,-0.8557,-0.724,0.1541,-1.727,-0.8862
609,1106,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001106.jpg,0.0774,1.8399,0.6117,0.6002,-0.0258,-0.6521,3.0197
610,1108,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001108.jpg,0.4343,-0.8464,1.0861,0.5056,-0.5009,0.5489,0.1764
611,1109,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001109.jpg,-0.2795,-0.4467,-0.2599,1.5461,1.1901,-0.6932,0.1157
612,1110,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001110.jpg,0.4343,-0.0209,1.4723,-0.9132,2.6462,-0.8712,1.5682
613,1115,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001115.jpg,-0.6363,-0.0929,0.5786,0.884,-0.3203,-0.2871,1.7073
614,1116,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001116.jpg,1.148,-1.1019,0.1152,-0.8186,1.1738,1.0251,0.1486
615,1117,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001117.jpg,-0.9932,-0.1126,-0.3261,-1.0078,-0.3638,-0.7429,-0.7581
616,1119,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001119.jpg,-1.7069,-1.2657,-0.282,0.7894,0.8788,-1.5225,0.0559
617,1122,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001122.jpg,0.4343,0.405,0.4793,0.411,-1.289,1.0768,0.7817
618,1124,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001124.jpg,0.4343,0.3002,-1.1205,-0.5348,-0.5878,0.3532,0.6988
619,1125,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001125.jpg,1.8617,-0.4074,0.7662,-0.6294,-0.9691,0.2211,0.4444
620,1127,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001127.jpg,1.5049,-0.5909,-0.2379,-1.2915,-1.3688,-1.5881,-0.5227
621,1128,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001128.jpg,-0.2795,0.5426,0.0159,-0.5348,-0.4615,0.4459,0.3725
622,1130,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001130.jpg,-0.6363,-0.8202,1.1192,0.5056,-1.0091,-0.3253,-0.2716
623,1131,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001131.jpg,0.0774,-0.0143,0.9206,1.0731,-0.5398,-0.4821,-0.1034
624,1133,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001133.jpg,0.7911,-0.4729,-2.3783,0.411,-0.6068,-0.1247,1.092
625,1135,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001135.jpg,-0.9932,-0.8988,-0.7454,-0.9132,0.3288,-0.7118,2.116
626,1136,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001136.jpg,0.0774,0.1364,1.031,-1.0078,0.0549,-0.4629,-0.3246
627,1137,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001137.jpg,0.0774,-0.355,0.1373,-0.9132,1.5273,-0.3021,-0.7074
628,1139,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001139.jpg,0.0774,-0.3812,0.6227,-1.2915,-0.1856,1.1616,-0.5502
629,1140,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001140.jpg,-0.2795,-0.9512,1.3289,-1.2915,0.0211,-1.3394,-0.7241
630,1141,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001141.jpg,0.0774,-0.8792,-0.8337,-0.8186,0.2649,-0.9012,-0.7753
631,1142,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001142.jpg,0.4343,-0.7088,-0.4144,-1.2915,-1.7472,-0.7416,-0.0226
632,1143,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001143.jpg,0.0774,-0.0471,-1.6501,0.3164,-0.4901,-0.1578,1.2076
633,1150,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001150.jpg,-0.6363,-0.0733,0.5014,-0.5348,0.0607,0.15,0.8461
634,1155,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001155.jpg,-0.2795,-0.8988,0.9868,-0.9132,1.2366,-1.4766,-0.0764
635,1156,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001156.jpg,-0.6363,-0.5581,0.4352,0.3164,1.1671,-0.8244,1.5848
636,1160,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001160.jpg,-2.7775,0.2281,0.5896,2.1136,1.6647,-0.0549,0.4954
637,1161,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001161.jpg,-0.2795,-1.2133,-0.3261,1.2623,-0.3335,0.2675,0.3364
638,1163,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001163.jpg,-0.9932,0.9292,0.0049,0.6948,-2.2638,1.2921,1.0106
639,1164,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001164.jpg,-0.2795,0.0185,-0.3482,-1.0078,-1.7609,-0.7572,0.597
640,1165,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001165.jpg,1.8617,-0.7088,-3.2169,-0.9132,-0.184,-1.271,0.9393
641,1166,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001166.jpg,0.7911,-0.6498,0.0711,-0.6294,0.3951,0.1995,-0.0202
642,1167,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001167.jpg,-0.6363,-0.4729,1.5164,0.884,-1.053,-0.1416,1.1733
643,1170,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001170.jpg,-1.3501,2.5082,0.8875,0.411,0.286,-1.3027,-0.1701
644,1172,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001172.jpg,-0.2795,0.1298,0.8875,-0.6294,-0.3688,1.2891,-0.8281
645,1175,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001175.jpg,-0.2795,-0.2436,-1.2088,1.5461,-1.3793,0.1773,0.9574
646,1176,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001176.jpg,0.4343,0.5557,-0.8778,-0.2511,0.8086,0.1111,0.7151
647,1178,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001178.jpg,-1.3501,-0.8923,0.9096,1.0731,-0.3538,-1.3121,-0.5028
648,1184,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001184.jpg,-0.2795,-0.9774,0.38,-0.8186,-1.6213,-1.137,-0.6728
649,1185,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001185.jpg,1.5049,1.7547,-0.2599,-1.0078,2.4135,0.7217,-0.2713
650,1188,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001188.jpg,-1.7069,-0.4009,0.7551,0.9786,0.6071,1.2184,-0.7032
651,1189,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001189.jpg,-0.6363,-0.925,0.6007,0.9786,-1.1139,1.4823,-0.7758
652,1190,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001190.jpg,0.0774,-0.5254,0.8765,0.7894,-0.0225,0.7889,-0.8271
653,1192,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001192.jpg,0.0774,0.1167,-0.9661,-1.1024,-0.1038,-1.6729,-0.543
654,1195,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001195.jpg,0.4343,-0.165,0.6227,0.7894,0.3728,0.6632,0.3863
655,1197,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001197.jpg,-0.6363,-0.9578,0.5234,-0.3457,-0.2178,-1.3429,-0.057
656,1200,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001200.jpg,-0.2795,0.1626,0.8544,-0.5348,1.3778,1.2851,-0.7232
657,1201,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001201.jpg,-0.2795,-0.3616,-0.0172,-0.8186,-2.5516,-1.064,1.0165
658,1205,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001205.jpg,-0.9932,1.093,-0.0724,-1.197,0.1695,0.8638,1.6814
659,1206,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001206.jpg,-0.2795,-1.0954,0.1924,0.0327,1.0257,-0.1798,-0.7855
660,1209,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001209.jpg,-2.0638,-1.0102,0.6889,1.9244,-0.4105,1.0248,1.4223
661,1210,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001210.jpg,1.8617,0.3919,-0.7675,0.7894,-0.5134,-0.7625,0.0254
662,1211,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001211.jpg,0.0774,-0.4271,-0.2048,-0.6294,0.7239,-1.5513,0.0334
663,1212,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001212.jpg,0.0774,0.9095,0.1483,-0.5348,-0.2337,1.5481,-0.8722
664,1213,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001213.jpg,-0.2795,-0.9447,0.1042,-0.6294,1.8726,-0.9875,0.7104
665,1216,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001216.jpg,1.8617,0.3133,-3.0845,-1.1024,-0.0434,-0.4299,-0.7268
666,1220,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001220.jpg,0.4343,-0.2174,-0.1937,1.6407,-1.6245,0.9579,-0.8675
667,1221,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001221.jpg,0.7911,-0.4598,-0.0613,-0.6294,1.3629,-1.0904,-0.6238
668,1224,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001224.jpg,0.4343,-1.2985,0.4241,0.7894,-0.1561,-0.8078,-0.265
669,1226,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001226.jpg,-0.2795,0.6343,-0.1606,0.2219,0.0226,1.1098,0.2132
670,1227,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001227.jpg,1.148,0.1954,-1.1647,-1.0078,-0.2261,-0.5659,0.6416
671,1228,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001228.jpg,1.5049,-1.2788,-3.4596,-0.724,-0.5535,-1.3155,0.0685
672,1230,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001230.jpg,1.5049,-1.2264,-0.1717,-1.0078,-0.7847,0.2245,-0.7791
673,1233,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001233.jpg,1.5049,-0.8333,0.2697,-1.0078,0.4179,0.6606,1.4043
674,1234,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001234.jpg,0.4343,-0.2436,0.5234,-0.1565,-1.2481,0.6378,-0.5621
675,1237,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001237.jpg,1.8617,-1.6195,-1.0543,-1.1024,-0.0917,-1.6445,-0.3422
676,1238,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001238.jpg,-0.2795,-1.1281,0.7441,0.411,-0.551,-1.3345,-0.3186
677,1239,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001239.jpg,-0.2795,-1.1216,-1.0323,0.5056,0.6907,-1.5315,0.2444
678,1240,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001240.jpg,1.8617,0.1822,0.9427,0.3164,-1.0217,1.2401,-0.8405
679,1241,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001241.jpg,0.4343,0.8505,-1.1867,-0.8186,-0.6347,0.7788,-0.7903
680,1242,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001242.jpg,1.148,3.0061,0.9096,-0.3457,2.1747,1.5741,-0.9131
681,1243,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001243.jpg,0.7911,1.4599,-0.0393,0.411,1.3624,1.1149,-0.4507
682,1244,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001244.jpg,1.148,0.4771,0.7,-0.3457,-0.566,-0.8805,0.8296
683,1245,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001245.jpg,1.148,-1.3116,0.0159,-1.1024,-0.4334,0.0105,1.841
684,1246,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001246.jpg,0.0774,-1.4754,0.5234,2.019,-0.8455,-0.2883,-0.2009
685,1248,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001248.jpg,1.5049,0.274,0.6669,-0.8186,-0.7674,-0.5713,-0.6632
686,1253,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001253.jpg,0.4343,-0.3747,-1.606,-0.9132,-0.5443,1.4485,-0.1194
687,1256,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001256.jpg,0.0774,-1.0626,-1.9149,0.6948,1.3168,-1.5733,-0.6876
688,1257,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001257.jpg,2.2186,0.3591,-0.2489,1.3569,2.6076,0.0395,-0.1746
689,1258,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001258.jpg,-0.9932,0.6933,0.7551,-1.1024,-0.4953,0.5163,1.2514
690,1259,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001259.jpg,0.4343,0.7326,-0.0944,-0.9132,-1.6363,1.5725,-0.8985
691,1260,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001260.jpg,-1.3501,-0.9643,-3.3713,-0.3457,-0.6393,-1.0854,2.6754
692,1261,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001261.jpg,0.0774,1.3288,-1.6943,1.3569,1.3529,0.4502,-0.4529
693,1264,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001264.jpg,-0.2795,-0.0929,-1.1205,-0.1565,-1.2916,-0.6811,-0.0954
694,1266,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001266.jpg,-0.6363,-0.4991,0.2366,1.7353,1.0403,0.4419,-0.7253
695,1267,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001267.jpg,0.4343,0.1167,-1.4515,-1.0078,-1.0409,0.8739,0.2037
696,1269,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001269.jpg,0.0774,-0.2043,0.1152,0.884,0.843,-1.0026,-0.7989
697,1270,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001270.jpg,0.0774,-1.4492,0.2807,0.9786,1.7051,-1.644,-0.7141
698,1273,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001273.jpg,-0.9932,-0.545,-0.7895,1.2623,-0.0268,-0.9761,-0.2916
699,1274,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001274.jpg,-0.2795,-1.1085,0.2035,0.884,0.0579,-1.0605,0.7505
700,1275,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001275.jpg,-1.3501,-0.1978,0.5896,0.9786,0.4611,-0.7407,4.6598
701,1276,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001276.jpg,1.148,-0.1453,0.5565,-0.6294,-0.0142,1.5096,-0.7804
702,1280,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001280.jpg,-0.6363,-0.7678,0.9537,-0.9132,-0.2606,-0.0866,2.844
703,1281,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001281.jpg,0.0774,-0.4533,-0.9661,0.411,0.9326,-1.0235,-0.5291
704,1282,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001282.jpg,-2.0638,-0.0012,0.3028,0.0327,-0.0775,-0.6133,0.5622
705,1283,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001283.jpg,0.7911,-0.4467,0.6558,-0.3457,-1.049,0.1282,-0.4658
706,1285,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001285.jpg,0.4343,-1.115,0.2807,-1.1024,2.964,-1.6406,-0.8652
707,1288,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001288.jpg,-0.6363,-0.4467,0.8213,-0.724,-1.9658,0.082,-0.7267
708,1289,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001289.jpg,1.148,3.0782,0.2697,1.4515,2.4493,1.4922,-0.876
709,1292,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001292.jpg,-0.9932,0.3395,1.362,0.884,-0.4428,1.3037,-0.8542
710,1293,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001293.jpg,-0.2795,-0.1847,-1.1426,1.2623,-0.2025,-0.8146,0.8068
711,1297,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001297.jpg,-0.9932,0.1036,0.6448,-0.8186,-0.4375,0.9605,-0.5423
712,1299,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001299.jpg,1.5049,0.8243,0.8324,-0.0619,-1.7708,0.721,-0.5753
713,1300,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001300.jpg,0.0774,-0.7416,0.4683,0.3164,-0.5493,-0.5719,1.7935
714,1301,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001301.jpg,-0.2795,-1.0299,0.38,-0.3457,0.3303,-1.5171,-0.435
715,1303,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001303.jpg,0.4343,-1.5671,-0.7454,-0.0619,0.4806,-1.7408,-0.886
716,1309,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001309.jpg,-0.2795,0.8571,0.4572,-0.2511,-1.1895,1.1052,-0.8341
717,1311,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001311.jpg,0.4343,-0.3681,-0.9661,0.5056,0.1676,-0.8797,-0.7507
718,1312,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001312.jpg,-1.7069,-0.9316,1.2075,-0.2511,0.0899,0.2077,0.1109
719,1313,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001313.jpg,0.4343,0.0905,0.7993,-0.1565,0.5033,-0.2937,-0.2168
720,1317,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001317.jpg,0.7911,-1.0299,0.8765,0.884,0.577,-1.6134,-0.8164
721,1320,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001320.jpg,0.7911,0.3788,-0.8116,-0.8186,-0.2654,-0.8585,-0.7592
722,1322,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001322.jpg,-0.2795,0.4378,-0.3261,-0.8186,0.1468,-0.7629,-0.7179
723,1324,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001324.jpg,1.148,-1.1347,-0.6351,-0.724,-0.4316,-1.4806,-0.7628
724,1325,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001325.jpg,1.148,-0.1191,-2.9741,-1.0078,-0.2436,-0.9917,1.0679
725,1329,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001329.jpg,1.8617,-0.7219,-0.624,-0.3457,-1.001,-0.9971,-0.4932
726,1330,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001330.jpg,-0.6363,1.2633,0.8986,1.1677,0.3918,0.3471,-0.755
727,1335,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001335.jpg,-0.2795,-0.3222,-0.0613,-0.724,1.5515,-0.6616,-0.5825
728,1336,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001336.jpg,-0.6363,-1.2002,-0.7895,-0.724,0.5,-1.5722,-0.4822
729,1337,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/001337.jpg,0.4343,-0.1978,0.06,-1.1024,0.6382,-0.368,0.2727
